Lung;Denmark;Finland;Norway;Sweden;Denmark;Finland;Norway;Sweden
1971-1975;25.5[24.3-26.7];34.7[33.4-36.0]*;26.4[24.6-28.3]*;25.0[23.9-26.1]*;24.1[22.1-26.3];34.5[31.3-37.9]*;29.4[26.2-33.1];26.6[24.7-28.7]*
1976-1980;25.0[24.0-26.0];38.3[37.2-39.5];30.1[28.5-31.7];28.6[27.5-29.8]*;25.0[23.4-26.8];39.6[36.9-42.6];32.0[29.1-35.2];32.5[30.5-34.7]
1981-1985;24.3[23.3-25.2];39.2[38.1-40.4];30.7[29.3-32.2];31.3[30.1-32.4];24.6[23.3-26.1];41.4[38.9-44.2];29.4[27.1-32.0];34.5[32.7-36.4]
1986-1990;24.4[23.4-25.3];37.1[35.9-38.3];29.2[27.9-30.5];30.8[29.6-31.9];25.4[24.2-26.7];40.5[38.1-43.0];30.7[28.6-32.8]*;32.3[30.7-34.0]*
1991-1995;24.7[23.8-25.7]*;33.9[32.8-35.1]*;29.3[28.1-30.7]*;31.4[30.3-32.6]*;25.9[24.8-27.1]*;38.3[36.2-40.6]*;34.2[32.3-36.1];35.6[34.1-37.1]*
1996-2000;26.9[26.0-27.9]*;35.8[34.6-37.1];32.0[30.8-33.3]*;34.1[33.0-35.4]*;30.3[29.2-31.4]*;40.9[38.9-43.0];33.6[32.0-35.3]*;39.4[38.0-40.9]*
2001-2005;32.2[31.2-33.2]*;36.8[35.6-38.1];33.6[32.3-34.9]*;38.0[36.8-39.2]*;35.5[34.4-36.6]*;43.6[41.7-45.6]*;38.8[37.3-40.4]*;43.5[42.2-44.7]*
2006-2010;34.8[33.8-35.9]*;36.1[34.8-37.4]*;39.2[37.9-40.5]*;41.8[40.6-43.0]*;40.6[39.5-41.6]*;46.2[44.4-48.0]*;44.4[43.0-45.8]*;47.3[46.1-48.5]*
2011-2015;42.7[41.6-43.8]*;39.0[37.7-40.3]*;44.9[43.6-46.2]*;47.0[45.8-48.2]*;50.9[49.9-52.0]*;48.5[46.9-50.2]*;53.5[52.2-54.9]*;54.9[53.8-56.1]*
2016-2020;52.0[50.8-53.1];43.0[41.7-44.3];53.1[51.8-54.5];52.7[51.5-54.0];60.2[59.2-61.3];52.4[50.8-54.1];59.7[58.4-61.1];60.1[59.0-61.2]
